Overriding: dataset = zulu
Overriding: compile = False
Overriding: always_save_checkpoint = False
Overriding: max_iters = 45000
Overriding: n_layer = 3
tokens per iteration will be: 491,520
found vocab_size = 10000 (inside data/zulu/meta.pkl)
Initializing a new model from scratch
number of parameters: 28.92M
/home/anxtem001/LanguageModel/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 14, with 29,700,096 parameters
num non-decayed parameter tensors: 7, with 5,376 parameters
using fused AdamW: True
step 0: train loss 9.3597, val loss 9.3576
iter 0: loss 9.3447, time 5699.38ms, mfu -100.00%
iter 1: loss 9.3538, time 908.41ms, mfu -100.00%
iter 2: loss 9.3480, time 1016.32ms, mfu -100.00%
iter 3: loss 9.3503, time 1016.28ms, mfu -100.00%
iter 4: loss 9.3511, time 1016.01ms, mfu -100.00%
iter 5: loss 9.3360, time 1016.64ms, mfu 31.27%
iter 6: loss 9.3183, time 1017.28ms, mfu 31.27%
iter 7: loss 9.3136, time 1017.31ms, mfu 31.27%
iter 8: loss 9.2891, time 1017.16ms, mfu 31.27%
iter 9: loss 9.2732, time 1016.76ms, mfu 31.27%
iter 10: loss 9.2498, time 1016.83ms, mfu 31.27%
iter 11: loss 9.2137, time 1017.36ms, mfu 31.27%
iter 12: loss 9.2153, time 1017.30ms, mfu 31.27%
iter 13: loss 9.1571, time 1017.40ms, mfu 31.27%
iter 14: loss 9.1186, time 1018.47ms, mfu 31.26%
iter 15: loss 9.1193, time 1018.50ms, mfu 31.26%
iter 16: loss 9.0489, time 1018.38ms, mfu 31.25%
iter 17: loss 9.0333, time 1019.15ms, mfu 31.25%
iter 18: loss 9.0156, time 1019.22ms, mfu 31.24%
iter 19: loss 8.9773, time 1019.33ms, mfu 31.24%
iter 20: loss 8.9472, time 1019.63ms, mfu 31.23%
iter 21: loss 8.9191, time 1019.29ms, mfu 31.23%
iter 22: loss 8.9311, time 1019.98ms, mfu 31.22%
iter 23: loss 8.8247, time 1020.10ms, mfu 31.22%
iter 24: loss 8.8308, time 1020.14ms, mfu 31.21%
iter 25: loss 8.8018, time 1019.86ms, mfu 31.21%
iter 26: loss 8.7622, time 1019.92ms, mfu 31.21%
iter 27: loss 8.7403, time 1020.41ms, mfu 31.20%
iter 28: loss 8.7196, time 1020.42ms, mfu 31.20%
iter 29: loss 8.6798, time 1020.26ms, mfu 31.19%
iter 30: loss 8.6296, time 1020.64ms, mfu 31.19%
iter 31: loss 8.6002, time 1020.43ms, mfu 31.19%
iter 32: loss 8.6538, time 1020.48ms, mfu 31.18%
iter 33: loss 8.6030, time 1020.85ms, mfu 31.18%
